code_departement,libelle_departement,population_18_24,population_25_29,population_30_44,population_scolarisee_18_24,population_scolarisee_25_29,source_insee
31,Haute-Garonne,158829,102413,296581,101006,13102,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-31
63,Puy-de-Dôme,60661,35342,118600,35772,3764,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-63
93,Seine-Saint-Denis,157537,118731,374145,87760,13362,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-93
09,Ariège,8903,6740,25694,2763,353,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-09
34,Hérault,115588,69442,219337,70579,9296,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-34
95,Val-d'Oise,112163,79597,265526,62984,7611,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-95
75,Paris,233890,219978,457512,169914,37034,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-75
94,Val-de-Marne,134870,102090,300085,84472,14096,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-94
48,Lozère,4929,3412,12243,2082,203,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-48
64,Pyrénées-Atlantiques,47115,33470,123345,22597,2519,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-64
91,Essonne,117425,83903,265482,65969,8357,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-91
65,Hautes-Pyrénées,15702,10021,36726,6932,490,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-65
44,Loire-Atlantique,126908,86285,291312,69241,7723,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-44
69,Rhône,206170,133421,380033,129704,15676,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-69
33,Gironde,155182,99089,329578,89685,11214,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-33
35,Ille-et-Vilaine,109189,66719,211229,64954,6970,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-35
37,Indre-et-Loire,55507,32971,108199,31868,3434,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-37
77,Seine-et-Marne,122074,86473,296649,61797,6249,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-77
73,Savoie,31596,22964,83724,13968,1383,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-73
87,Haute-Vienne,32093,18031,60747,18196,1963,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-87
12,Aveyron,15929,12038,44868,6239,437,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-12
54,Meurthe-et-Moselle,74992,42292,135472,45121,4679,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-54
14,Calvados,63571,37225,121635,35676,3738,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-14
81,Tarn,25518,16699,65304,11283,857,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-81
13,Bouches-du-Rhône,174086,118002,389269,97717,12386,https://www.insee.fr/fr/statistiques/2011101?geo=DEP-13
